name,ion,wl,flux,rms,I
PN33m   ,    [SIII], 9069  , 28.9 , 6.  ,  10. 
PN38m   ,     [OII], 3727  ,  0.  , 0.  ,   0. 
PN38m   ,       HeI, 3805  ,  0.  , 0.  ,   0. 
PN38m   ,        HI, 3835  ,  0.  , 0.  ,   0. 
PN38m   ,   [NeIII], 3869  ,  0.  , 0.  ,   0. 
PN38m   ,       HeI, 3889  ,  0.  , 0.  ,   0. 
PN38m   ,[NeIII]/HI, 3968  ,  0.  , 0.  ,   0. 
PN38m   ,     [SII], 4070  ,  0.  , 0.  ,   0. 
PN38m   ,        HI, 4100  ,  0.  , 0.  ,   0. 
PN38m   ,        HI, 4340  , 32.1 , 9.8 ,  34.9
PN38m   ,    [OIII], 4363  ,  5.4 , 1.3 ,   5.9
PN38m   ,       HeI, 4471  ,  0.  , 0.  ,   0. 
PN38m   ,      HeII, 4540  ,  0.  , 0.  ,   0. 
PN38m   ,      HeII, 4686  ,  0.  , 0.  ,   0. 
PN38m   ,HeI/[ArIV], 4712  ,  0.  , 0.  ,   0. 
PN38m   ,    [ArIV], 4740  ,  0.  , 0.  ,   0. 
PN38m   ,        HI, 4861  ,100.  , 1.9 , 100. 
PN38m   ,    [OIII], 4959  ,203.7 , 3.7 , 200.6
PN38m   ,    [OIII], 5007  ,606.7 ,11.4 , 592.9
PN38m   ,      HeII, 5411  ,  0.  , 0.  ,   0. 
PN38m   ,     [NII], 5755  ,  2.8 , 0.8 ,   2.5
PN38m   ,       HeI, 5876  , 18.6 , 9.3 ,  16.3
PN38m   ,      [OI], 6300  ,  0.  , 0.  ,   0. 
PN38m   ,    [SIII], 6312  ,  0.  , 0.  ,   0. 
PN38m   ,      [OI], 6363  ,  0.  , 0.  ,   0. 
PN38m   ,     [NII], 6548  , 90.  , 9.7 ,  74. 
PN38m   ,        HI, 6563  ,351.6 , 8.6 , 288.8
PN38m   ,     [NII], 6584  ,271.  ,13.2 , 222.2
PN38m   ,       HeI, 6678  ,  0.  , 0.  ,   0. 
PN38m   ,     [SII], 6717  ,  0.  , 0.  ,   0. 
PN38m   ,     [SII], 6731  ,  0.  , 0.  ,   0. 
PN38m   ,       HeI, 6891  ,  0.  , 0.  ,   0. 
PN38m   ,     [ArV], 7005  ,  0.  , 0.  ,   0. 
PN38m   ,       HeI, 7065  ,  0.  , 0.  ,   0. 
PN38m   ,   [ArIII], 7135  , 12.3 , 7.8 ,   9.6
PN38m   ,     [OII], 7320  ,  0.  , 0.  ,   0. 
PN38m   ,     [OII], 7330  ,  0.  , 0.  ,   0. 
PN38m   ,   [ArIII], 7751  ,  0.  , 0.  ,   0. 
PN38m   ,    [SIII], 9069  ,  0.  , 0.  ,   0. 
PN41m   ,     [OII], 3727  ,449.7 ,13.2 ,1024.2
PN41m   ,       HeI, 3805  ,  0.  , 0.  ,   0. 
PN41m   ,        HI, 3835  ,  0.  , 0.  ,   0. 
PN41m   ,   [NeIII], 3869  ,  0.  , 0.  ,   0. 
PN41m   ,       HeI, 3889  ,  0.  , 0.  ,   0. 
PN41m   ,[NeIII]/HI, 3968  ,  0.  , 0.  ,   0. 
PN41m   ,     [SII], 4070  ,  0.  , 0.  ,   0. 
PN41m   ,        HI, 4100  ,  0.  , 0.  ,   0. 
PN41m   ,        HI, 4340  , 71.8 ,19.8 , 104.6
PN41m   ,    [OIII], 4363  , 24.9 ,10.3 ,  35.7
PN41m   ,       HeI, 4471  ,  0.  , 0.  ,   0. 
PN41m   ,      HeII, 4540  ,  0.  , 0.  ,   0. 
PN41m   ,      HeII, 4686  ,  0.  , 0.  ,   0. 
PN41m   ,HeI/[ArIV], 4712  ,  0.  , 0.  ,   0. 
PN41m   ,    [ArIV], 4740  ,  0.  , 0.  ,   0. 
PN41m   ,        HI, 4861  ,100.  ,14.6 ,  99.9
PN41m   ,    [OIII], 4959  ,468.7 ,23.8 , 436.4
PN41m   ,    [OIII], 5007 ,345.2 ,30.4 ,1209.8
PN41m   ,      HeII, 5411  ,  0.  , 0.  ,   0. 
PN41m   ,     [NII], 5755  ,  0.  , 0.  ,   0. 
PN41m   ,       HeI, 5876  , 40.6 ,14.2 ,  22.1
